item_id,tag_id
115,14
115,26
115,39
115,48
115,53
115,105
115,130
115,140
115,142
115,143
115,152
115,162
115,213
115,215
115,226
115,248
115,260
115,276
115,327
115,382
115,384
115,396
115,436
115,437
115,482
115,548
115,572
115,580
115,658
115,660
115,673
115,726
387,24
387,48
387,76
387,94
387,115
387,167
387,187
387,224
387,231
387,248
387,260
387,277
387,278
387,343
387,378
387,393
387,403
387,427
387,479
387,482
387,501
387,504
387,535
387,550
387,554
387,565
387,588
387,590
387,591
387,594
387,597
387,613
387,633
423,6
423,10
423,24
423,26
423,31
423,37
423,39
423,48
423,152
423,208
423,250
423,260
423,396
423,439
423,482
423,581
423,582
423,618
423,619
423,624
423,671
423,672
423,707
434,7
434,10
434,24
434,48
434,116
434,152
434,167
434,180
434,202
434,238
434,260
434,327
434,328
434,336
434,396
434,402
434,458
434,463
434,478
434,479
434,482
434,515
434,622
434,651
434,670
434,683
434,692
466,10
466,14
466,39
466,48
466,66
466,140
466,142
466,143
466,159
466,160
466,167
466,191
466,193
466,231
466,245
466,250
466,260
466,277
466,278
466,301
466,302
466,305
466,336
466,343
466,344
466,346
466,384
466,396
466,479
466,496
466,507
466,513
466,602
466,603
466,633
466,673
466,692
505,8
505,24
505,26
505,39
505,43
505,111
505,137
505,140
505,142
505,143
505,230
505,236
505,248
505,250
505,260
505,276
505,278
505,327
505,328
505,343
505,384
505,400
505,411
505,413
505,463
505,482
505,496
505,550
505,553
505,565
505,624
505,631
505,644
505,660
505,673
505,687
505,696
505,715
505,726
574,10
574,24
574,39
574,46
574,48
574,57
574,76
574,94
574,157
574,159
574,167
574,187
574,231
574,239
574,278
574,343
574,344
574,378
574,396
574,397
574,427
574,444
574,479
574,482
574,504
574,550
574,603
574,681
574,692
696,8
696,10
696,24
696,26
696,39
696,43
696,48
696,111
696,152
696,159
696,167
696,230
696,250
696,260
696,277
696,278
696,327
696,328
696,343
696,344
696,463
696,482
696,550
696,565
696,581
696,582
696,624
696,671
696,672
696,681
696,696
696,707
696,722
731,10
731,24
731,48
731,76
731,94
731,159
731,167
731,239
731,260
731,278
731,285
731,294
731,326
731,343
731,344
731,396
731,399
731,427
731,444
731,479
731,480
731,539
731,575
731,602
731,603
731,633
742,5
742,10
742,26
742,111
742,140
742,142
742,143
742,152
742,230
742,235
742,250
742,260
742,382
742,384
742,411
742,436
742,437
742,463
742,465
742,482
742,581
742,624
742,644
742,660
742,673
742,687
742,726
797,9
797,10
797,18
797,24
797,26
797,43
797,103
797,152
797,160
797,161
797,180
797,230
797,231
797,250
797,260
797,302
797,303
797,305
797,327
797,328
797,336
797,346
797,400
797,416
797,463
797,482
797,496
797,581
797,592
797,624
797,631
797,643
797,644
797,673
817,14
817,39
817,43
817,48
817,62
817,167
817,179
817,208
817,215
817,228
817,260
817,277
817,328
817,343
817,396
817,439
817,447
817,449
817,463
817,480
817,482
817,518
817,521
817,550
817,578
817,582
817,603
817,624
817,630
817,633
817,650
817,651
817,670
817,673
817,707
818,24
818,26
818,48
818,61
818,62
818,159
818,167
818,208
818,228
818,231
818,250
818,260
818,277
818,278
818,336
818,343
818,344
818,449
818,479
818,482
818,496
818,500
818,521
818,522
818,552
818,575
818,581
818,590
818,624
818,630
818,644
818,650
818,673
818,687
818,727
960,10
960,26
960,51
960,111
960,130
960,140
960,142
960,143
960,152
960,167
960,230
960,248
960,250
960,260
960,276
960,382
960,384
960,411
960,412
960,413
960,436
960,437
960,463
960,482
960,496
960,550
960,580
960,581
960,644
960,660
960,673
960,684
960,687
960,726
969,26
969,61
969,62
969,130
969,140
969,142
969,143
969,208
969,250
969,260
969,280
969,281
969,382
969,384
969,436
969,437
969,463
969,482
969,522
969,581
969,582
969,660
969,673
969,707
969,726
1096,7
1096,10
1096,24
1096,26
1096,111
1096,152
1096,159
1096,167
1096,180
1096,202
1096,230
1096,231
1096,250
1096,260
1096,277
1096,278
1096,343
1096,344
1096,396
1096,400
1096,463
1096,465
1096,482
1096,575
1096,581
1096,582
1096,624
1096,644
1096,687
1142,10
1142,24
1142,26
1142,61
1142,62
1142,111
1142,152
1142,167
1142,180
1142,208
1142,215
1142,230
1142,231
1142,250
1142,260
1142,281
1142,336
1142,396
1142,397
1142,398
1142,463
1142,482
1142,521
1142,522
1142,581
1142,582
1142,624
1142,651
1142,670
1142,688
1315,9
1315,11
1315,24
1315,39
1315,46
1315,48
1315,66
1315,138
1315,152
1315,157
1315,160
1315,161
1315,162
1315,167
1315,231
1315,248
1315,260
1315,302
1315,303
1315,305
1315,343
1315,346
1315,396
1315,482
1315,580
1315,592
1315,692
1413,9
1413,24
1413,118
1413,119
1413,189
1413,208
1413,222
1413,231
1413,250
1413,260
1413,280
1413,343
1413,350
1413,396
1413,463
1413,480
1413,482
1413,581
1413,582
1413,624
1413,630
1413,659
1413,673
1439,9
1439,11
1439,14
1439,24
1439,68
1439,111
1439,162
1439,167
1439,180
1439,215
1439,231
1439,250
1439,260
1439,374
1439,396
1439,397
1439,398
1439,412
1439,413
1439,444
1439,447
1439,463
1439,482
1439,550
1439,565
1439,581
1439,624
1439,674
1439,688
1439,710
1605,10
1605,24
1605,26
1605,46
1605,48
1605,83
1605,94
1605,207
1605,233
1605,260
1605,327
1605,328
1605,468
1605,469
1605,479
1605,582
1605,650
1605,666
1605,686
1605,692
1649,14
1649,24
1649,39
1649,48
1649,137
1649,162
1649,167
1649,215
1649,248
1649,260
1649,267
1649,276
1649,343
1649,356
1649,396
1649,398
1649,447
1649,482
1649,525
1649,548
1649,554
1649,565
1649,617
1649,658
1649,673
1649,718
1649,719
1759,6
1759,10
1759,24
1759,48
1759,68
1759,76
1759,94
1759,116
1759,144
1759,152
1759,157
1759,162
1759,167
1759,187
1759,239
1759,250
1759,258
1759,259
1759,260
1759,287
1759,325
1759,327
1759,328
1759,396
1759,397
1759,398
1759,413
1759,427
1759,445
1759,456
1759,465
1759,479
1759,482
1759,512
1759,542
1759,580
1759,603
1759,718
1803,10
1803,24
1803,26
1803,48
1803,152
1803,167
1803,215
1803,250
1803,260
1803,293
1803,336
1803,386
1803,463
1803,482
1803,496
1803,578
1803,581
1803,624
1803,630
1803,633
1803,644
1803,651
1803,670
1803,687
1803,692
1814,24
1814,48
1814,57
1814,167
1814,179
1814,231
1814,250
1814,260
1814,293
1814,336
1814,386
1814,444
1814,463
1814,482
1814,496
1814,578
1814,581
1814,602
1814,603
1814,633
1814,644
1814,651
1814,670
1844,5
1844,10
1844,24
1844,46
1844,48
1844,76
1844,94
1844,116
1844,152
1844,157
1844,167
1844,178
1844,187
1844,239
1844,258
1844,260
1844,328
1844,378
1844,397
1844,402
1844,427
1844,479
1844,504
1844,518
1844,550
1844,580
1844,603
1844,613
1844,681
1844,692
1844,718
1844,725
2001,14
2001,26
2001,39
2001,111
2001,140
2001,142
2001,143
2001,152
2001,231
2001,245
2001,250
2001,260
2001,278
2001,324
2001,343
2001,382
2001,384
2001,411
2001,436
2001,463
2001,482
2001,550
2001,565
2001,581
2001,624
2001,631
2001,644
2001,660
2001,673
2001,715
2001,717
2183,18
2183,24
2183,26
2183,51
2183,138
2183,167
2183,180
2183,197
2183,202
2183,244
2183,250
2183,260
2183,336
2183,343
2183,411
2183,446
2183,463
2183,478
2183,482
2183,496
2183,565
2183,581
2183,644
2183,651
2183,670
2183,687
2183,691
2183,695
2183,711
2183,715
2183,717
2309,18
2309,26
2309,48
2309,167
2309,180
2309,202
2309,238
2309,260
2309,278
2309,343
2309,369
2309,423
2309,463
2309,474
2309,480
2309,482
2309,516
2309,651
2309,670
2384,13
2384,14
2384,24
2384,42
2384,137
2384,167
